NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
ASXL2	1	55252	
APOC1	1	341	
VPS41	1	27072	
CEBPZ	1	10153	
VPS45	1	11311	
BCOR	1	54880	
EVI2B	1	2124	
C1orf116	1	79098	
C1orf115	1	79762	
SLC35B3	1	51000	
SLC35B2	1	347734	
IL1RN	1	3557	
SLC35B4	1	84912	
DCAF4L1	1	285429	
SLC35B1	1	10237	
IL23R	1	149233	
DCAF4L2	1	138009	
C6orf89	1	221477	
RPS6KA4	1	8986	
NFU1	1	27247	
NIPAL4	1	348938	
RPS6KA3	1	6197	
RPS6KA6	1	27330	
RPS6KA5	1	9252	
NIPAL1	1	152519	
OR52L2P	1	79274	
RPS6KA2	1	6196	
NIPAL2	1	79815	
NIPAL3	1	57185	
RPS6KA1	1	6195	
ARFIP2	1	23647	
GSC2	1	2928	
H4C2	1	8366	
ARFIP1	1	27236	
H4C1	1	8359	
H4C4	1	8360	
SLC35A5	1	55032	
AC007663.2	1	284865	
H4C3	1	8364	
H4C6	1	8361	
FAM41C	1	284593	
H4C5	1	8367	
TANGO6	1	79613	
C1orf100	1	200159	
IL1R1	1	3554	
TANGO2	1	128989	
IL1R2	1	7850	
SLC35C2	1	51006	
SLC35C1	1	55343	
TWSG1	1	57045	
IL23A	1	51561	
GSAP	1	54103	
OBSL1	1	23363	
CFTR	1	1080	
SLC22A4	1	6583	
SPRR2E	1	6704	
SLC22A3	1	6581	
SPRR2F	1	6705	
SLC22A6	1	9356	
SPRR2G	1	6706	
SLC22A5	1	6584	
SLC35D1	1	23169	
SH2D2A	1	9047	
SLC35D3	1	340146	
SLC22A2	1	6582	
SLC35D2	1	11046	
SLC22A1	1	6580	
CRHR1	1	1394	
CRHR2	1	1395	
CFAP251	1	144406	
MT1JP	1	4498	
GSE1	1	23199	
FAM43A	1	131583	
FAM43B	1	163933	
SPRR2A	1	6700	
ARGLU1	1	55082	
SPRR2B	1	6701	
SPRR2C	1	6702	
SPRR2D	1	6703	
H4C8	1	8365	
H4C7	1	8369	
XCR1	1	2829	
H4C9	1	8294	
SLC35E1	1	79939	
SLC35E4	1	339665	
SLC35E3	1	55508	
SH2D1A	1	4068	
C6orf99	1	100130967	
SH2D1B	1	117157	
MPHOSPH10	1	10199	
SLC22A8	1	9376	
SLC22A7	1	10864	
TECPR2	1	9895	
SPRR1A	1	6698	
TECPR1	1	25851	
SPRR1B	1	6699	
SLC22A9	1	114571	
SLC35F6	1	54978	
SLC35F3	1	148641	
CAB39L	1	81617	
SLC35F2	1	54733	
SLC35F5	1	80255	
MCUB	1	55013	
SLC35F4	1	341880	
SLC35F1	1	222553	
RSF1	1	51773	
C6orf47	1	57827	
SIPA1L2	1	57568	
SIPA1L3	1	23094	
SIPA1L1	1	26037	
H2BC20P	1	337873	
AC008397.1	1	729966	
GSG1	1	83445	
SLC35G6	1	643664	
SLC35G5	1	83650	
MT1P3	1	140851	
SLC35G2	1	80723	
TYK2	1	7297	
SLC35G1	1	159371	
CFAP299	1	255119	
MTSS1	1	9788	
MTSS2	1	92154	
MIR105-2	1	406898	
MIR105-1	1	406897	
NFX1	1	4799	
C1QTNF12	1	388581	
ANP32BP1	1	646791	
AMER1	1	139285	
AMER2	1	219287	
MEGF6	1	1953	
AMER3	1	205147	
FAM47C	1	442444	
FAM47A	1	158724	
FAM47B	1	170062	
RGPD6	1	729540	
RGPD5	1	84220	
RGPD8	1	727851	
RGPD2	1	729857	
