NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
MODULE_208	MODULE_208		118	-0.48687965	-0.9888398	0.5050505	0.9048882	0.996	3127	tags=36%, list=15%, signal=42%	
MODULE_3	MODULE_3		382	-0.33953685	-0.9801314	0.5050505	0.916225	0.996	4131	tags=36%, list=20%, signal=45%	
MODULE_75	MODULE_75		392	-0.44573423	-0.9801053	0.5302419	0.9073526	0.996	3910	tags=39%, list=19%, signal=47%	
MODULE_46	MODULE_46		388	-0.44367033	-0.97978836	0.5282258	0.899259	0.996	4299	tags=41%, list=21%, signal=52%	
MODULE_292	MODULE_292		131	-0.4843653	-0.97850734	0.5274949	0.8934734	0.996	3136	tags=37%, list=15%, signal=43%	
MODULE_410	MODULE_410		36	-0.49121583	-0.9784464	0.5450902	0.88510877	0.996	3444	tags=33%, list=17%, signal=40%	
MODULE_98	MODULE_98		392	-0.33466366	-0.97190124	0.509165	0.8905138	0.996	4223	tags=33%, list=21%, signal=40%	
MODULE_571	MODULE_571		15	-0.39563	-0.96932477	0.49281314	0.888095	0.996	1976	tags=27%, list=10%, signal=30%	
MODULE_127	MODULE_127		26	-0.48008546	-0.96457094	0.54141414	0.8903389	0.996	2455	tags=42%, list=12%, signal=48%	
MODULE_165	MODULE_165		82	-0.40906778	-0.9620083	0.545082	0.88789237	0.997	4789	tags=33%, list=24%, signal=43%	
MODULE_209	MODULE_209		87	-0.42787778	-0.96065736	0.49407116	0.8824449	0.997	2765	tags=28%, list=14%, signal=32%	
MODULE_474	MODULE_474		17	-0.51895756	-0.9591105	0.5734407	0.87738293	0.997	5502	tags=65%, list=27%, signal=89%	
MODULE_79	MODULE_79		98	-0.48424143	-0.955627	0.5667351	0.87654805	0.997	4244	tags=46%, list=21%, signal=58%	
MODULE_485	MODULE_485		52	-0.3526928	-0.9518907	0.534	0.8771692	0.997	2224	tags=27%, list=11%, signal=30%	
MODULE_303	MODULE_303		28	-0.45197958	-0.9465765	0.57200813	0.8807111	0.997	2005	tags=29%, list=10%, signal=32%	
MODULE_8	MODULE_8		419	-0.3018151	-0.9329233	0.53846157	0.9030033	0.997	3900	tags=30%, list=19%, signal=37%	
MODULE_15	MODULE_15		354	-0.3192305	-0.9188064	0.56573707	0.92606944	0.997	3841	tags=33%, list=19%, signal=40%	
MODULE_175	MODULE_175		54	-0.3436299	-0.91403645	0.58431375	0.9283369	0.997	1791	tags=20%, list=9%, signal=22%	
MODULE_229	MODULE_229		31	-0.33319044	-0.911845	0.57455266	0.9255568	0.997	3678	tags=29%, list=18%, signal=35%	
MODULE_253	MODULE_253		21	-0.41015047	-0.9113056	0.6039604	0.9189354	0.997	767	tags=29%, list=4%, signal=30%	
MODULE_60	MODULE_60		420	-0.2881225	-0.90992343	0.558	0.9147616	0.997	4159	tags=30%, list=20%, signal=37%	
MODULE_131	MODULE_131		33	-0.44608182	-0.9010121	0.6092184	0.92606896	0.998	6528	tags=64%, list=32%, signal=94%	
MODULE_189	MODULE_189		23	-0.44940463	-0.8989722	0.61178863	0.92264324	0.998	2455	tags=43%, list=12%, signal=49%	
