"","Row.names","ADCY1","ADCY8","CAMK2A","CAMK2B","CAMK2G","CAMK4","CREB1","MAPK1","NBEA","PDE1A","PDE1C","PLA2G4A","PRKACB","PRKAR2B","PRKCD","EFS_fct"
"153","PAMAJT",9.705009,5.015393,6.929197,8.571839,8.913795,8.178746,8.664701,8.893925,8.728402,4.351889,6.049796,3.618321,8.288441,8.534132,7.253336,"EFS_G5"
"154","PAMBDH",8.272698,5.049457,6.423271,7.330347,8.127884,6.237583,8.474563,8.011328,8.528967,4.588091,5.119382,4.069163,6.796023,7.303391,6.531456,"EFS_G5"
"155","PAMBMJ",8.840078,4.723346,6.176457,7.830772,8.879077,8.995323,9.28409,9.19976,9.817634,5.275443,5.252504,4.389899,7.579135,8.757365,7.342498,"EFS_L5"
"156","PAMBYG",7.649226,5.23803,6.139182,7.566654,8.567275,8.183245,9.110312,8.219553,9.163553,4.817548,4.731313,3.857879,6.995516,7.739188,6.59039,"EFS_L5"
"157","PAMCXF",8.014126,5.170656,6.465194,7.681447,8.460004,9.393982,8.305985,8.288766,8.626233,4.36765,5.123444,3.798843,6.543962,8.560466,6.753731,"EFS_L5"
"158","PAMEHH",7.657646,7.658161,8.039558,7.453549,8.877967,5.809382,8.724472,9.470897,9.047698,6.045238,6.468168,5.50358,8.711785,9.820412,8.477131,"EFS_L5"
"159","PAMEZH",8.744115,6.826606,7.872061,7.874273,8.796161,7.344397,8.546969,9.107994,8.769366,5.743559,5.75277,4.929879,7.903354,8.359082,7.799806,"EFS_L5"
"160","PAMJED",7.841944,5.026727,6.364985,7.475938,8.283648,7.003662,8.06298,8.041857,8.008953,5.164739,5.231449,4.004334,6.90948,8.175191,7.342627,"EFS_L5"
"161","PAMLMY",9.461247,6.270562,6.642907,7.623705,8.219394,7.598504,8.775901,8.805955,9.093639,4.377625,5.011283,3.870733,7.804796,9.203313,6.95245,"EFS_G5"
"162","PAMLNB",7.115868,4.70369,5.816199,5.868332,7.767446,5.740472,8.442099,9.198712,8.004799,5.756339,4.643555,7.377834,6.883543,9.524346,8.712198,"EFS_G5"
"163","PAMMXF",8.853212,4.80638,5.830388,7.925464,8.886931,9.262828,8.778221,8.750013,9.485582,3.990622,4.399039,3.710725,7.744566,7.553654,7.091468,"EFS_L5"
"164","PAMMYR",8.125674,4.819876,6.259054,7.1689,8.401479,8.243947,8.709839,8.816462,8.643112,4.679122,4.686745,4.614977,7.527178,7.663586,8.135366,"EFS_L5"
"165","PAMNAL",8.922691,5.054274,7.67374,7.99958,9.059927,8.773143,8.566626,9.22893,9.226284,5.787165,5.598542,4.293309,7.28293,8.702702,7.622969,"EFS_G5"
"166","PAMNLH",8.897172,5.660928,6.730641,6.834692,8.55872,7.001717,7.901949,8.398342,8.552434,5.52547,5.71857,4.415734,6.659753,8.065907,6.977029,"EFS_L5"
"167","PAMVCL",9.618025,5.127491,9.635214,8.537382,9.532743,8.024123,8.460394,8.85995,9.774784,4.537383,5.80946,3.711416,8.710082,8.522387,7.306917,"EFS_G5"
"168","PAMXWF",8.710716,8.16325,7.198389,8.095499,8.855447,7.425542,8.76098,8.810867,9.859647,4.575192,4.644011,3.805592,7.638495,9.105902,6.7738,"EFS_L5"
"169","PAMYCE",8.356258,5.197393,7.136655,7.982728,8.918945,7.664598,8.104444,8.296649,8.991,4.973885,5.694657,3.928413,7.823423,8.423966,7.002218,"EFS_L5"
"170","PAMYVA",8.312272,5.259834,7.596578,7.637542,8.658363,7.578854,8.768733,8.567343,9.059367,5.120013,5.555086,4.275189,7.849633,8.803612,7.244423,"EFS_G5"
"171","PAMZCE",7.838367,5.312638,6.468476,7.624244,8.252199,8.468782,8.162539,7.974736,8.55845,4.080316,5.012059,3.945349,7.049687,7.831983,6.348628,"EFS_G5"
"172","PAMZMG",8.8672,4.933395,6.488612,8.1562,8.367798,6.540442,8.255406,8.09232,8.426951,4.47227,4.826653,3.780854,7.10661,8.378073,6.914444,"EFS_L5"
"173","PAMZYM",7.745426,4.813627,7.401486,7.391513,8.650924,8.136141,9.376209,8.937912,9.347273,4.144117,5.341913,4.115122,8.058463,8.270388,7.25947,"EFS_G5"
"174","PANBJH",9.098824,6.389437,7.191867,7.460269,9.129801,6.726899,8.64588,8.430956,9.2056,4.664296,5.107737,3.765812,7.639518,8.691731,6.711865,"EFS_L5"
"175","PANBMJ",8.295542,6.075193,8.831542,8.677311,8.719183,7.277459,8.148154,8.727338,8.730932,5.314567,5.602463,5.216544,8.2603,8.380735,7.658144,"EFS_L5"
"176","PANBSP",8.147252,4.4945,5.98504,6.020737,8.879161,10.059514,8.715261,9.159376,9.785569,4.722052,4.683491,3.341037,8.245592,8.60524,7.129238,"EFS_L5"
"177","PANCYF",7.675942,4.741656,6.077653,7.065873,8.594982,8.177118,8.700785,8.699232,9.109165,4.233418,5.265905,4.821648,7.635191,8.190059,7.128958,"EFS_L5"
"178","PANDHZ",7.873439,5.099438,6.949447,6.124429,8.109742,7.372305,7.849473,8.275813,8.09646,5.287182,5.363754,4.886471,7.275632,6.889474,7.384896,"EFS_L5"
"179","PANGTS",7.880555,5.486489,7.144674,7.984513,8.691641,6.358739,8.933766,8.416774,9.883545,5.588881,5.026705,4.030107,8.169208,9.318101,6.93527,"EFS_G5"
"180","PANHUA",8.423914,5.095814,6.76288,7.204782,8.569307,7.669791,8.640513,8.484845,9.038503,4.72448,5.318718,4.073573,7.590955,8.362161,7.228127,"EFS_L5"
"181","PANLSG",8.302587,4.912516,6.462044,7.806329,7.809629,8.455716,8.6802,8.468588,8.77427,5.147857,5.356471,3.858379,6.864828,8.607842,6.731882,"EFS_L5"
"182","PANNIJ",8.069851,5.055798,6.661483,7.654517,8.50162,8.882986,8.537111,8.590026,8.43505,5.224212,4.903163,4.31143,6.99507,7.908976,7.326021,"EFS_L5"
"183","PANRRW",8.529552,5.474359,7.655318,8.445065,9.380357,8.752242,9.135407,8.86101,9.496026,5.075538,5.499138,4.494374,8.381566,9.013098,7.151032,"EFS_L5"
"184","PANUKV",7.533651,4.689212,6.114125,7.633922,9.222193,8.09939,8.833757,8.734508,9.421426,4.241784,4.635095,3.754331,9.094709,8.519247,6.884621,"EFS_L5"
"185","PANUVK",8.43011,5.519398,7.422249,7.142004,8.419785,8.320868,8.331034,9.458803,9.01297,5.466516,4.983914,4.966289,7.671433,8.974943,7.468101,"EFS_G5"
"186","PANVAN",7.337122,5.113937,6.460732,6.566254,7.694079,7.18427,8.358435,8.317097,7.326254,5.978032,5.580435,5.099405,7.006335,6.865274,7.550152,"EFS_L5"
"187","PANYGR",9.035859,4.926956,6.592276,7.848882,8.123816,7.965889,8.609586,8.766127,9.01234,4.600588,5.52736,3.885587,7.624201,8.218428,6.782632,"EFS_L5"
"188","PANZHT",8.791306,6.552197,7.048966,8.362824,8.394975,7.142353,8.898314,8.905015,8.985689,4.990968,4.849117,5.195375,7.943278,9.033594,7.894714,"EFS_G5"
"189","PANZPV",8.449728,6.819639,8.197322,8.527173,9.298583,8.516222,8.910744,9.221973,9.394182,5.843399,6.450629,4.557658,8.736922,8.761613,6.899238,"EFS_L5"
"190","PAPAKS",7.746315,5.227739,6.784054,7.596425,7.973698,8.373173,8.77835,7.867188,7.937337,4.328555,5.21976,3.877297,7.031606,7.815597,6.609704,"EFS_G5"
"191","PAPBGH",8.207766,4.74856,6.602092,8.292239,8.232019,9.276594,8.919596,8.922072,9.197123,7.351649,4.979418,3.695641,7.590637,7.991585,6.61792,"EFS_L5"
"192","PAPBZI",8.146975,5.277398,6.089554,6.425363,8.011527,8.390698,9.014176,8.754427,9.514076,4.624516,4.779089,4.908825,7.710674,8.506428,6.953217,"EFS_L5"
"193","PAPEFE",8.217484,5.132403,6.757185,6.875854,8.165069,7.865053,8.986594,8.438972,8.353655,5.009936,5.145575,4.759681,7.594322,8.248878,7.804638,"EFS_L5"
"194","PAPEJW",8.455146,5.408464,6.378059,7.477075,8.583393,8.607815,8.305368,8.392786,8.935741,4.750479,4.773384,3.773737,7.018526,8.523316,7.022176,"EFS_L5"
"195","PAPHPE",7.383071,7.676558,7.734161,8.267614,8.879054,7.947907,7.942747,8.915964,8.652057,4.567713,5.011373,3.745178,8.194788,9.051497,6.981201,"EFS_L5"
"196","PAPJLD",7.838328,7.155319,8.00038,8.11102,8.897773,7.248468,8.145389,9.104297,9.081908,5.688694,6.58683,6.008295,8.093248,8.635129,7.778828,"EFS_G5"
"197","PAPKWN",8.045724,4.947774,6.724287,7.780178,8.745156,8.883096,8.996123,9.103123,9.237674,6.273338,5.249882,5.170735,7.601813,8.003287,7.300007,"EFS_L5"
"198","PAPRTD",7.7113,7.427401,8.561901,7.982628,8.916376,6.889243,8.828448,9.786222,8.614703,5.973467,6.421612,7.003264,8.27277,7.882792,8.305579,"EFS_L5"
"199","PAPSEI",7.778201,5.97235,5.952027,7.777725,8.157371,6.890425,8.99988,8.821918,8.739014,5.328784,4.666058,4.554308,7.321356,8.882055,6.944486,"EFS_L5"
"200","PAPSKM",8.829863,5.204497,6.701908,7.945058,8.358707,8.311684,8.914661,8.878653,8.5441,4.912389,5.233048,4.607361,8.011221,8.28847,7.268309,"EFS_L5"
