"","Row.names","ADCYAP1","ASAH1","BRAF","CREB1","CREB5","FRS2","MAP2K4","MAPK1","MAPK10","MAPK8","MAPK9","NTRK1","PIK3CD","PIK3R1","SHC1","TH","TUBA1A","EFS_fct"
"80","PAITEG",9.523932,9.874819,8.952935,8.126589,6.80822,6.653296,7.88964,8.772533,6.918389,7.332355,8.648093,7.751529,7.066475,8.627856,8.631818,8.673366,10.651501,"EFS_L5"
"81","PAITRM",4.934784,8.679379,8.711592,8.797714,6.178023,7.308903,8.061695,8.948843,7.424506,8.577704,8.041667,7.9129,7.060364,8.069729,8.047445,8.819045,11.386388,"EFS_G5"
"82","PAITZV",7.823849,8.845914,9.017865,8.207387,6.127092,6.356085,7.37168,8.070783,6.645158,7.587918,8.36936,8.124761,6.885739,7.388728,8.828248,8.976324,11.975427,"EFS_G5"
"83","PAIUJB",4.738697,8.373989,8.464922,8.908504,8.475044,6.693609,7.713071,8.466573,7.218882,8.67381,8.790881,6.769963,6.403169,8.717252,7.688685,8.078931,11.048507,"EFS_L5"
"84","PAIVHE",5.018043,8.684571,8.454229,7.913724,7.432847,7.147445,7.895136,8.671633,6.818882,8.088692,7.7524,8.35336,6.988773,8.738336,9.251965,9.701832,11.680583,"EFS_L5"
"85","PAIVMJ",6.711551,9.159246,9.176442,8.983875,8.528748,7.254479,8.5032,9.581963,6.994592,8.740166,8.237694,9.170642,7.099083,9.652335,9.142791,9.713199,11.765662,"EFS_G5"
"86","PAIVZR",5.609573,8.434114,8.449074,8.637682,6.757912,6.75262,7.94048,8.41254,7.117386,8.013713,8.153896,6.769397,6.539768,8.010708,8.235265,7.962584,11.543882,"EFS_L5"
"87","PAIWHU",6.26424,8.93542,8.61795,8.745675,7.016345,7.085131,8.148465,9.034113,6.983043,8.257961,8.449875,9.099944,6.945206,8.697194,8.5973,9.362883,12.057374,"EFS_G5"
"88","PAIWVG",5.680531,7.953435,7.893848,7.835311,6.087955,6.71318,7.247147,8.332884,6.470768,7.592686,8.059647,8.052376,6.945649,8.047182,8.539879,8.684745,11.871453,"EFS_L5"
"89","PAIXLC",6.156386,8.964989,8.88448,9.178662,7.520088,7.203647,8.089766,8.859082,6.833559,8.24497,8.387225,9.111788,7.06656,10.001395,9.753324,9.279646,11.679473,"EFS_G5"
"90","PAIXNG",5.031639,7.43707,8.279042,8.719029,5.087642,6.613369,8.106192,8.476021,6.752524,7.884856,7.51701,7.21343,6.522416,7.07076,8.708351,7.014347,10.685726,"EFS_L5"
"92","PAJYHP",5.468231,8.730302,9.059233,8.738056,5.990548,6.5445,7.80733,8.772819,6.783173,7.739719,8.70241,8.39821,7.032656,7.479534,7.933082,9.723461,11.523372,"EFS_L5"
"93","PAJYLA",5.745528,9.215878,8.421894,8.355124,7.266738,6.766141,8.025512,8.47883,6.812676,8.03396,8.263905,8.014678,6.708474,8.138767,9.10218,8.796585,11.718243,"EFS_L5"
"94","PAJYVA",7.611667,8.592145,8.236249,8.510417,7.567389,6.091443,7.629869,8.204953,6.413999,8.247879,8.316722,6.773526,6.575371,7.711403,8.659953,7.939874,11.241442,"EFS_L5"
"95","PAJZUU",7.9638,8.155443,7.807456,7.61224,6.938803,5.801886,7.038916,8.170097,7.038715,7.238596,7.031473,7.50971,7.003104,6.520632,8.912995,7.484058,11.386069,"EFS_L5"
"96","PAJZWL",6.307466,8.728482,8.534345,8.670511,7.18247,6.748161,8.069501,9.320539,6.665178,7.721585,7.74218,8.294814,6.961343,8.598417,9.127266,10.007638,11.871981,"EFS_L5"
"97","PAKACY",6.521065,8.766538,8.379511,8.73669,6.970807,6.102684,8.006508,8.161571,7.510309,8.378135,8.387978,6.69253,6.277308,7.738087,7.904586,7.561138,11.182303,"EFS_L5"
"98","PAKADI",5.240247,8.956403,9.275167,9.026405,5.846123,6.976513,8.365434,9.172044,7.076142,8.319191,9.162365,9.092014,6.967452,8.491354,8.156711,9.580986,11.872498,"EFS_L5"
"99","PAKAFK",6.630896,8.88233,9.414064,9.332691,7.848622,7.30287,8.018749,9.274816,6.595685,8.577216,8.323755,8.447643,7.161268,9.365447,9.535797,9.583738,11.858661,"EFS_G5"
